Food Name,Cuisine,Calories,Carbohydrates,Protein,Fat,Diet,Allergens,Meal Type,Preparation Time,Ingredients
Dal Tadka with Roti,West Indian,180,25,10,5,Vegetarian,None,Lunch,30,"Lentils, Ghee, Garlic, Spices"
Paneer Butter Masala With Roti/Naan,West Indian,350,20,25,10,Vegetarian,Dairy,Lunch,40,"Paneer, Tomato, Cream, Spices"
Idli,South Indian,150,35,3,1,Vegetarian,Gluten-Free,Breakfast,20,"Rice, Urad Dal, Salt"
Poha,West Indian,200,30,6,5,Vegetarian,None,Breakfast,15,"Flattened Rice, Onion, Peanuts, Spices"
Chicken Biryani,South Indian,450,60,20,15,Non-Vegetarian,None,Lunch,60,"Chicken, Rice, Spices, Yogurt"
Masala Dosa,South Indian,300,45,6,10,Vegetarian,Gluten-Free,Breakfast,30,"Rice, Urad Dal, Potato, Spices"
Palak Paneer with Naan,North Indian,280,30,15,8,Vegetarian,Dairy,Lunch,35,"Spinach, Paneer, Tomato, Spices"
Rajma Chawal,North Indian,350,50,15,8,Vegetarian,None,Lunch,45,"Kidney Beans, Rice, Tomato, Spices"
Dhokla,East Indian,160,25,5,2,Vegetarian,Gluten-Free,Snack,20,"Gram Flour, Yogurt, Spices"
Pav Bhaji,West Indian,400,50,12,15,Vegetarian,Gluten,Lunch,35,"Potatoes, Tomato, Peas, Butter, Spices"
Baingan Bharta With Roti,North Indian,180,20,5,8,Vegetarian,None,Lunch,40,"Eggplant, Tomato, Spices, Mustard Oil"
Chole Bhature,North Indian,450,50,12,18,Vegetarian,Gluten,Lunch,40,"Chickpeas, Flour, Spices, Oil"
Matar Paneer With Naan,North Indian,290,30,12,10,Vegetarian,Dairy,Lunch,35,"Paneer, Peas, Tomato, Spices"
Pesarattu,South Indian,250,40,12,6,Vegan,Gluten-Free,Breakfast,30,"Green Gram, Ginger, Chilies, Spices"
Chole Bhature with Curd,East Indian,450,60,15,20,Vegetarian,Gluten,Lunch,50,"Chickpeas, Flour, Yogurt, Spices"
Misal Pav,West Indian,380,55,12,18,Vegetarian,Gluten,Breakfast,40,"Sprouted Lentils, Spices, Pav Bread"
Bisi Bele Bath With Roti,South Indian,350,55,10,12,Vegetarian,None,Lunch,45,"Rice, Lentils, Tamarind, Spices"
Appam with Stew,South Indian,300,50,8,10,Vegetarian,Gluten-Free,Breakfast,40,"Rice, Coconut Milk, Spices, Vegetables"
Bhindi Masala With Roti,North Indian,200,20,5,10,Vegetarian,None,Lunch,30,"Okra, Tomato, Spices, Onion"
Thepla,West Indian,250,35,6,10,Vegetarian,"Gluten, Dairy",Breakfast,25,"Whole Wheat Flour, Methi, Curd, Spices"
Undhiyu,West Indian,400,50,15,20,Vegetarian,None,Lunch,60,"Mixed Vegetables, Spices, Oil, Coconut"
